760,786
1205,1218
1375,1401
3354,3379
7521,7588
10134,10244
11950,12050
12572,12699
13599,13786
14782,14925
15150,15239
15960,16269
16304,16339
16353,16377
16557,16576
16829,16852
16871,17088
17755,17932
18431,18441
19282,19503
19667,19685
19719,20035
20196,20449
20484,20501
20638,20850
20991,21311
21442,21496
21856,22005
22038,22183
22845,23029
23169,23287
23380,23588
23619,24175
24196,24375
24605,24955
25226,25423
25599,25611
25627,25854
26042,26074
26249,26536
26677,26809
26829,26873
