1437,1470
1782,1829
1974,2023
2412,2432
3236,3256
3524,3533
3544,3564
3572,3613
3617,3643
3689,3729
3786,3808
3863,3880
3892,3908
4001,4010
4019,4034
4038,4083
4089,4122
4130,4151
4676,4732
4744,4755
5581,5603
5635,5660
5974,6018
6026,6064
6431,6477
6496,6520
7221,7322
7528,7608
7610,7631
8320,8353
13813,13824
14236,14318
14333,14354
14359,14371
14452,14464
14466,14486
14533,14609
14653,14663
14719,14730
14751,14789
14794,14804
14817,14930
14945,14960
14964,15013
15060,15068
15077,15102
15117,15130
15136,15176
15178,15200
15279,15288
15296,15307
15343,15383
15388,15397
15759,15795
15805,15843
15847,15914
16009,16157
16234,16254
16369,16400
16403,16435
16441,16467
16515,16526
16534,16587
16593,16603
16610,16680
16756,16867
16878,16957
17052,17164
17340,17372
17374,17483
17548,17608
17700,17720
17728,17747
17761,17782
17836,17895
17917,17933
17988,18128
18487,18535
18562,18639
18949,18974
19424,19436
19462,19475
19543,19575
19579,19601
19617,19628
19669,19678
19690,19701
19742,19754
19808,19825
20538,20565
20647,20657
20911,20929
21063,21101
21104,21116
21130,21192
21258,21318
21342,21381
21533,21609
21612,21645
21884,21948
21951,22029
22139,22195
22201,22249
22259,22286
22291,22321
22689,22795
22809,22859
22920,23135
23191,23283
23302,23312
23315,23325
23330,23356
23680,23704
23707,23768
23770,23787
24149,24181
24194,24203
24210,24229
24242,24283
24299,24450
24756,24855
25024,25152
25155,25295
25366,25379
25410,25425
25470,25483
25595,25669
26524,26536
